,level_0,index,D_l,D_s,alpha,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,length,m_l,mu_l_b,mu_l_l,mu_s_b,mu_s_l,name,q_fitted,q_fitted_log,q_true,q_true_log,rho,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c,tEp_true_2,tEp_fitted_2
3082,3082,3082,7.421,22.8744,305.576,-0.494592079,-20816.39538,-20399.75878,9.41409699,0.025261968,0.00865101,38323,0.605,2.221,2.839,21.999,22.0066,cassan_28_84_315.det.lc.gz,0.000250717,-3.600815716,0.0134144,-1.872428748,0.000510609,0.964426967,1.03688515,0.964426967,-0.015730655,0.601348,-0.220874129,1638.874838,1638.959999,12.83669577,8.88961,-0.203256944,1.0296,1639.633503,0.041919267,0.071806,0.072458184,1.02960953264,-0.203256944
3083,3083,3083,9.149,26.6611,34.7693,0.331322165,-19508.05309,-19132.63779,8.50799,0.057529268,0.0178067,38323,0.15,0.907,-8.676,25.3482,25.417,cassan_28_84_480.det.lc.gz,2.31e-06,-5.636649486,0.000186348,-3.729675264,0.00118851,0.697949067,1.432769305,1.432769305,0.156176269,1.46905,0.167036578,1625.614357,1625.867073,21.66336523,20.0188,0.032915555,0.2733,1635.091084,0.590419087,0.663971,0.734820238,0.274309104312,0.032915555
3084,3084,3084,5.965,26.2147,289.162,-0.0373321,-19168.63366,-19126.97113,0.64830376,0.23204695,0.0866007,38323,0.17,-0.155,-3.05,24.7942,24.749,cassan_28_85_1506.det.lc.gz,6.37e-05,-4.195706358,3.32e-05,-4.479312141,0.00122118,0.957122995,1.044797801,0.957122995,-0.01903225,1.04951,0.020986581,533.142137,533.1414726,7.077095813,7.04678,0.056493944,0.0406,533.7274912,0.029081757,0.0292477,0.087674806,0.0415050440286,0.056493944
3085,3085,3085,8.216,26.2535,13.6999,-0.03985339,-20006.35823,-19233.44179,12.0464455,1.211616829,0.501777,38323,0.204,1.905,-4.002,24.9149,25.0171,cassan_28_86_489.det.lc.gz,0.00058471,-3.233059194,0.000273788,-3.562585591,0.00155785,0.536850895,1.862714599,0.536850895,-0.270146318,0.608025,-0.216078564,1643.174148,1642.753276,21.73908681,26.8295,0.525668193,0.4439,1636.648055,1.291430987,0.934563,1.325863703,0.44589861933,0.525668193
3086,3086,3086,7.23,25.9315,230.667,0.088002869,-19323.67626,-19204.841,33.3560136,0.319102315,0.0206688,38323,0.3,-1.746,-3.662,24.302,24.3502,cassan_28_87_2731.det.lc.gz,2.42e-05,-4.616352283,2.44e-05,-4.612252562,0.000447964,0.463579943,2.157125249,2.157125249,0.333875362,1.93395,0.286445242,370.8965527,372.5734493,25.55762328,30.5458,0.125702618,0.1509,338.9290512,1.141749751,0.903272,1.693545306,0.151504309678,0.125702618
3087,3087,3087,6.54,24.5134,343.894,0.112972122,-19368.69365,-19022.74084,4.7801028,0.164183505,0.0146229,38323,0.55,1.184,-0.466,22.7239,22.8239,cassan_28_88_2820.det.lc.gz,0.000107478,-3.968678496,0.000251812,-3.598923578,0.000843769,0.871587915,1.14733119,1.14733119,0.0596888,1.04448,0.018900128,165.307563,165.300993,19.17657296,19.1972,0.198807036,0.3046,163.8356916,0.264845681,0.263937,0.275743274,0.305062744538,0.198807036
3088,3088,3088,10.703,36.8541,28.149,-0.031936852,-22501.1494,-22333.21281,0.9540443,0.493953962,0.110682,38323,0.911,0.0,-0.079,33.413,33.7641,cassan_28_89_1516.det.lc.gz,3.89e-06,-5.410127689,5.57e-05,-4.254141686,0.00216366,0.951903085,1.050527113,0.951903085,-0.021407266,1.02583,0.011075396,356.7484406,356.7480031,13.05384524,13.0691,0.025743916,0.0975,357.2921437,0.089397483,0.0889832,0.098624028,0.10155407591,0.025743916
3089,3089,3089,13.328,29.2736,343.588,0.035381589,-21628.53477,-19089.9998,1.0238312,0.660352011,0.454447,38323,0.2,-0.005,-0.064,27.0601,27.1,cassan_28_8_155.det.lc.gz,9.98e-06,-5.000876111,0.000286235,-3.543277263,0.00388943,0.695017769,1.438812134,1.438812134,0.158004092,1.40086,0.146394735,130.2143618,130.1990479,3.390949429,3.65654,0.010712313,0.0619,129.5231952,0.715321376,0.627444,0.743794365,0.063476804112,0.010712313
3091,3091,3091,7.573,30.815,325.796,-0.012482455,-19226.97612,-19200.03143,5.76231132,0.919358672,0.779151,38323,0.576,0.016,-0.075,30.2861,30.3478,cassan_28_96_1690.det.lc.gz,0.021078835,-1.676153387,0.000735672,-3.133315773,0.00403133,0.602334192,1.660207926,0.602334192,-0.220162483,0.786025,-0.104563641,318.1122328,318.1086557,7.835105225,7.87201,1.137543832,0.2135,322.6759584,0.883076311,0.878416,1.057873733,0.215860163307,1.137543832
3092,3092,3092,8.601,24.9973,199.241,-0.286241551,-19256.03717,-19219.65701,58.8331848,0.049154023,0.0186795,38323,0.3,2.049,-13.206,23.845,23.8622,cassan_28_96_3171.det.lc.gz,0.000159941,-3.79604155,0.002219,-2.653842698,0.00115958,0.942748063,1.060728777,0.942748063,-0.025604351,0.607925,-0.216149997,291.7546666,291.4215079,55.83942975,57.0089,0.706187782,2.6855,293.9488833,0.111244519,0.104123,0.117980714,2.68628975107,0.706187782
