,chi_sub,is_in_matts,name
173,"4166    23.13263
Name: chi_sub, dtype: float64",0,cassan_11_71_1799.det.lc.gz
174,"4167    33.651137
Name: chi_sub, dtype: float64",0,cassan_11_71_2479.det.lc.gz
175,"4168    20.224163
Name: chi_sub, dtype: float64",0,cassan_11_73_1278.det.lc.gz
176,"4171    7.702467
Name: chi_sub, dtype: float64",0,cassan_11_74_1053.det.lc.gz
180,"4179    18.84751
Name: chi_sub, dtype: float64",0,cassan_11_86_1203.det.lc.gz
181,"4181    16.454547
Name: chi_sub, dtype: float64",0,cassan_11_97_1482.det.lc.gz
182,"4183    8.071906
Name: chi_sub, dtype: float64",0,cassan_11_99_1295.det.lc.gz
184,"4187    23.525222
Name: chi_sub, dtype: float64",0,cassan_12_100_2787.det.lc.gz
186,"4189    5.531221
Name: chi_sub, dtype: float64",0,cassan_12_112_156.det.lc.gz
188,"4191    13.619822
Name: chi_sub, dtype: float64",0,cassan_12_123_375.det.lc.gz
190,"4193    14.248765
Name: chi_sub, dtype: float64",0,cassan_12_124_1520.det.lc.gz
191,"4194    7.151241
Name: chi_sub, dtype: float64",0,cassan_12_124_2814.det.lc.gz
192,"4196    15.021193
Name: chi_sub, dtype: float64",0,cassan_12_126_455.det.lc.gz
193,"4197    6.238638
Name: chi_sub, dtype: float64",0,cassan_12_126_468.det.lc.gz
194,"4199    15.583716
Name: chi_sub, dtype: float64",0,cassan_12_136_1252.det.lc.gz
195,"4202    16.289709
Name: chi_sub, dtype: float64",0,cassan_12_137_2311.det.lc.gz
196,"4203    11.445436
Name: chi_sub, dtype: float64",0,cassan_12_137_767.det.lc.gz
197,"4204    2.258067
Name: chi_sub, dtype: float64",0,cassan_12_138_1155.det.lc.gz
198,"4206    10.95123
Name: chi_sub, dtype: float64",0,cassan_12_138_670.det.lc.gz
202,"4210    36.514349
Name: chi_sub, dtype: float64",0,cassan_12_151_740.det.lc.gz
203,"4213    9.678469
Name: chi_sub, dtype: float64",0,cassan_12_18_1843.det.lc.gz
204,"4214    20.86898
Name: chi_sub, dtype: float64",0,cassan_12_18_2544.det.lc.gz
207,"4218    37.515136
Name: chi_sub, dtype: float64",0,cassan_12_20_817.det.lc.gz
208,"4219    22.221065
Name: chi_sub, dtype: float64",0,cassan_12_23_2156.det.lc.gz
210,"4221    3.965773
Name: chi_sub, dtype: float64",0,cassan_12_24_2806.det.lc.gz
211,"4224    4.832861
Name: chi_sub, dtype: float64",0,cassan_12_30_939.det.lc.gz
212,"4227    0.365292
Name: chi_sub, dtype: float64",0,cassan_12_32_1872.det.lc.gz
213,"4229    21.411364
Name: chi_sub, dtype: float64",0,cassan_12_33_2980.det.lc.gz
214,"4230    33.724257
Name: chi_sub, dtype: float64",0,cassan_12_34_478.det.lc.gz
215,"4231    24.049495
Name: chi_sub, dtype: float64",0,cassan_12_43_690.det.lc.gz
216,"4232    36.534741
Name: chi_sub, dtype: float64",0,cassan_12_44_2425.det.lc.gz
217,"4234    11.01985
Name: chi_sub, dtype: float64",0,cassan_12_45_537.det.lc.gz
218,"4237    34.730845
Name: chi_sub, dtype: float64",0,cassan_12_48_2512.det.lc.gz
219,"4242    31.05713
Name: chi_sub, dtype: float64",0,cassan_12_57_2248.det.lc.gz
220,"4246    19.32529
Name: chi_sub, dtype: float64",0,cassan_12_59_1410.det.lc.gz
222,"4253    32.480834
Name: chi_sub, dtype: float64",0,cassan_12_63_1813.det.lc.gz
223,"4254    21.916133
Name: chi_sub, dtype: float64",0,cassan_12_63_2393.det.lc.gz
224,"4256    4.026452
Name: chi_sub, dtype: float64",0,cassan_12_6_1005.det.lc.gz
225,"4257    31.361993
Name: chi_sub, dtype: float64",0,cassan_12_6_2164.det.lc.gz
226,"4258    21.57789
Name: chi_sub, dtype: float64",0,cassan_12_70_2007.det.lc.gz
227,"4259    5.445129
Name: chi_sub, dtype: float64",0,cassan_12_71_251.det.lc.gz
228,"4260    38.601456
Name: chi_sub, dtype: float64",0,cassan_12_72_990.det.lc.gz
229,"4261    22.762493
Name: chi_sub, dtype: float64",0,cassan_12_73_1790.det.lc.gz
230,"4262    14.186058
Name: chi_sub, dtype: float64",0,cassan_12_75_2146.det.lc.gz
231,"4264    14.428051
Name: chi_sub, dtype: float64",0,cassan_12_76_122.det.lc.gz
233,"4267    9.218331
Name: chi_sub, dtype: float64",0,cassan_12_82_1830.det.lc.gz
234,"4269    34.400511
Name: chi_sub, dtype: float64",0,cassan_12_82_2432.det.lc.gz
235,"4270    16.953002
Name: chi_sub, dtype: float64",0,cassan_12_82_3131.det.lc.gz
236,"4271    23.1516
Name: chi_sub, dtype: float64",0,cassan_12_82_759.det.lc.gz
237,"4273    10.751716
Name: chi_sub, dtype: float64",0,cassan_12_83_1728.det.lc.gz
238,"4275    11.576249
Name: chi_sub, dtype: float64",0,cassan_12_88_698.det.lc.gz
242,"4283    7.044783
Name: chi_sub, dtype: float64",0,cassan_12_99_1519.det.lc.gz
243,"4285    9.23376
Name: chi_sub, dtype: float64",0,cassan_13_100_1357.det.lc.gz
244,"4286    23.127091
Name: chi_sub, dtype: float64",0,cassan_13_100_3062.det.lc.gz
245,"4288    27.419635
Name: chi_sub, dtype: float64",0,cassan_13_109_2850.det.lc.gz
246,"4292    13.705923
Name: chi_sub, dtype: float64",0,cassan_13_111_748.det.lc.gz
248,"4294    16.617717
Name: chi_sub, dtype: float64",0,cassan_13_115_3215.det.lc.gz
249,"4295    0.628834
Name: chi_sub, dtype: float64",0,cassan_13_124_871.det.lc.gz
250,"4299    15.812276
Name: chi_sub, dtype: float64",0,cassan_13_136_336.det.lc.gz
252,"4301    12.781329
Name: chi_sub, dtype: float64",0,cassan_13_138_3134.det.lc.gz
253,"4302    32.715354
Name: chi_sub, dtype: float64",0,cassan_13_138_919.det.lc.gz
255,"4304    15.425643
Name: chi_sub, dtype: float64",0,cassan_13_139_1201.det.lc.gz
256,"4305    24.892525
Name: chi_sub, dtype: float64",0,cassan_13_140_1000.det.lc.gz
257,"4307    2.34686
Name: chi_sub, dtype: float64",0,cassan_13_140_1621.det.lc.gz
