,chi_2_1,chi_2_2,name,q_fitted,q_true,s_fitted,s_true,u0_fitted,u0_true
234,-19410.2152905,-19256.7872946,cassan_3_32_1106.det.lc.gz,5.37757652363e-06,4.61518e-06,0.830883861893,0.833817,0.348724601348,0.347222
235,-19347.6002694,-19306.8723601,cassan_3_35_1704.det.lc.gz,0.00010491480497,5.92961e-05,0.974045480507,0.675714,0.0524805482926,0.0525271
236,-22102.3132894,-19586.5567672,cassan_3_36_2788.det.lc.gz,4.74263149648e-06,6.6246e-05,0.972031244834,0.991341,0.0381137401801,0.0378456
237,-19427.6398525,-19174.9990711,cassan_3_43_2628.det.lc.gz,1.12800229652e-07,7.58625e-05,1.64824010548,1.42786,1.03937219211,0.711129
238,-20315.4059245,-20076.1774823,cassan_3_48_2704.det.lc.gz,3.28683557612e-13,0.0025854,1.01063635433,1.40824,2.15912974666e-08,0.694627
239,-20726.329736,-19978.3228208,cassan_3_48_3198.det.lc.gz,4.62683579187e-14,0.000798177,1.00279155218,1.09153,0.00292633952223,0.00318325
240,-56702.0007783,-22886.8385722,cassan_3_59_2031.det.lc.gz,7.14457495293e-07,6.98207e-06,1.42781442362,1.33748,0.495816431901,0.356832
241,-19347.7828153,-19313.3700545,cassan_3_89_1446.det.lc.gz,5.99657786239e-08,0.000336935,1.00123273982,0.391955,0.00196142411119,0.00212377
242,-19426.8266322,-19062.5131555,cassan_3_89_1791.det.lc.gz,4.14863474141e-06,7.96888e-05,1.5405417551,1.83982,0.310829515434,0.563205
243,-38218.2703509,-21168.0158983,cassan_3_96_2789.det.lc.gz,2.26723713224e-06,3.79845e-05,0.953554701647,0.965713,0.0923623235765,0.0943599
244,-19543.5047189,-19145.5137672,cassan_3_9_1677.det.lc.gz,1.48891624673e-05,3.4311e-05,1.00465161208,1.8466,0.00925279436383,0.00947499
245,-29982.7232879,-23428.4507984,cassan_40_109_2208.det.lc.gz,1.47317392088e-05,0.000228434,1.03593169827,1.05032,0.0696866612923,0.0687336
246,-27253.7859548,-19972.5126793,cassan_40_136_914.det.lc.gz,1.86919098411e-05,2.67782e-05,1.14159572835,1.13936,0.257717548694,0.2529
247,-25386.467854,-23765.0963529,cassan_40_138_614.det.lc.gz,8.99565007087e-06,4.74684e-05,0.912634334126,0.909472,0.174426547291,0.180704
248,-33916.7242401,-21241.9129878,cassan_40_20_1313.det.lc.gz,3.61155200287e-07,2.34671e-05,1.62851559518,1.63828,0.0681554913899,0.0692552
249,-19960.6718342,-19700.2008936,cassan_40_35_3049.det.lc.gz,4.47045547215e-06,4.57299e-05,1.03866342826,0.967655,0.0741881663377,0.0748728
250,-19372.2529564,-19276.6052888,cassan_40_49_1225.det.lc.gz,4.56230011509e-06,0.000162221,0.995225168287,0.617151,0.00622943142575,0.00650525
251,-36703.2550208,-25863.9417968,cassan_40_57_511.det.lc.gz,3.78300891588e-05,0.000371789,1.00239022171,0.562003,0.00477467743066,0.00316644
252,-33311.797583,-21056.8222924,cassan_40_70_2796.det.lc.gz,1.32410585125e-06,4.80465e-05,1.03076654846,1.04435,0.05804430937,0.0568255
253,-19148.3948975,-19104.869173,cassan_40_83_910.det.lc.gz,4.04003173115e-05,0.000435417,2.4036626135,2.26993,1.59650972627,1.38382
254,-29439.6934071,-20349.2478646,cassan_40_89_2921.det.lc.gz,3.41359459079e-06,2.54158e-05,1.00210735216,0.71204,0.00421015995278,0.0047518
255,-25400.8437032,-19938.2004331,cassan_41_10_395.det.lc.gz,3.47824774549e-07,1.47596e-05,0.98130155776,0.99116,0.0374376837781,0.0382504
256,-27174.1577033,-25727.1996949,cassan_41_115_2051.det.lc.gz,1.6029571918e-07,0.0272319,1.01849113307,1.19082,0.0299721227567,0.455644
257,-26184.5536915,-19937.8060973,cassan_41_126_586.det.lc.gz,3.69503652731e-06,0.000469149,0.996580016204,1.30303,0.00658979060523,0.00702506
258,-22832.0335792,-19959.4745969,cassan_41_137_1271.det.lc.gz,3.27430324856e-05,0.00261499,1.74546207196,1.43134,1.06258781655,0.602664
259,-29561.8506138,-22254.4976022,cassan_41_34_81.det.lc.gz,1.65621838019e-05,0.000225045,0.964989770716,0.934759,0.0525294105918,0.0517684
260,-40956.8778769,-24484.7935782,cassan_41_44_1315.det.lc.gz,6.14850029021e-05,0.000571523,1.01869922042,0.660207,0.0237243483706,0.0226146
261,-22563.4672282,-21154.2248411,cassan_41_56_2269.det.lc.gz,1.00040108451e-08,0.000134176,1.245815795,0.811891,0.373577459154,0.346726
262,-24178.8838764,-21117.1962664,cassan_41_87_1914.det.lc.gz,56672.703832,6.24738e-05,63.2133727496,2.40303,0.209144812107,1.98761
263,-19192.3972143,-19116.5989091,cassan_41_8_2606.det.lc.gz,3.34945661032e-06,2.7449e-05,1.00228854894,0.472398,0.00454737049133,0.00457084
264,-19834.3457854,-19348.258036,cassan_42_124_3107.det.lc.gz,1.23484536761e-05,0.000113439,0.997538773788,1.60233,0.00203655312926,0.00214183
265,-21853.4989207,-20099.0751696,cassan_42_47_2428.det.lc.gz,1.65108848162e-05,0.000256256,0.950975659741,0.94167,0.0951576086625,0.0810081
266,-38716.203138,-19763.4177025,cassan_42_69_1839.det.lc.gz,1.32686910672e-05,0.00160777,1.01030971551,1.64015,0.0181188069919,0.017967
