,Unnamed: 0,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,name,q_fitted,q_fitted_log,q_true,q_true_log,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c
707,707,0.0316637314513,-20643.4005134,-20588.638591,3.31924488,0.785775815568,0.783566,cassan_37_86_2175.det.lc.gz,0.0039734745681,-2.4008295623,0.000254281,-3.59468608931,0.901262399369,1.10955477639,1.10955477639,0.0451487473039,1.46183,0.164896870327,127.713994059,127.714989111,4.28819258558,4.29954,0.270308374199,0.0686,128.507094221,0.0958086789098,0.0954745,0.208292377021
708,708,-1.61609951999,-20638.4217157,-20586.2061422,67.210752,0.00740128068004,0.00652034,cassan_37_87_2597.det.lc.gz,7.81828718202e-05,-4.10688838107,0.00119184,-2.92378204307,0.924304347735,1.08189472705,0.924304347735,-0.0341850041278,0.792324,-0.101097188817,1808.11421632,1808.25452328,132.98320468,150.024,1.17585184245,5.1793,1810.0660426,0.156905405602,0.142377,0.15759037931
709,709,0.00331014327494,-20646.6126519,-20599.7079171,7.1230592,0.829147313391,0.832268,cassan_37_88_2671.det.lc.gz,3.07848818212e-05,-4.51166250926,1.92246e-06,-5.71614268766,0.696139741879,1.43649319216,1.43649319216,0.15730357212,1.44614,0.160210338798,334.455944433,334.45636332,18.3844755608,18.3584,0.102004654921,0.0255,341.115572553,0.645681041366,0.647007,0.740353450278
710,710,-1.38042572093,-20843.5101106,-20778.0362486,16.3421148,0.005202937861,0.152372,cassan_37_96_64.det.lc.gz,0.00727322534139,-2.13827295677,0.136419,-0.865125138327,0.875170803658,1.14263409591,0.875170803658,-0.0579071791527,0.550627,-0.259142496787,537.277193072,547.264425159,52.4812115642,22.5098,4.47576601258,8.314,525.541090902,0.146726094416,1.45888,0.267463292248
711,711,0.256881561253,-29801.7404725,-23203.1336752,23.474535,0.45041635021,0.232866,cassan_37_97_1437.det.lc.gz,1.29210058646e-05,-4.8887036764,4.58605e-05,-4.33856121463,0.574951943706,1.73927579678,1.73927579678,0.240368453494,1.50343,0.17708321207,1414.75745102,1414.2713213,25.0334369228,32.8775,0.0899846933939,0.2226,1390.81122587,0.663795604181,0.439185,1.16432385307
712,712,-1.58539315436,-21416.2995373,-20620.3628819,12.3028026,0.177973817766,0.178536,cassan_37_97_1468.det.lc.gz,0.0146524864004,-1.83408867303,0.0200601,-1.69766690634,0.822217398549,1.21622335135,0.822217398549,-0.0850133375606,0.591924,-0.227734050878,164.994143169,164.851228818,12.0080384549,12.0262,1.45354249641,1.7033,166.464134996,0.374505930277,0.397696,0.394005952799
713,713,0.0346079866274,-20436.8674422,-20405.6620536,17.1274512,0.55571620054,0.556042,cassan_37_97_1877.det.lc.gz,3.5518394924e-07,-6.44954666821,3.20772e-05,-4.49380354804,0.996948418805,1.00306092185,1.00306092185,0.00132731110467,0.598518,-0.222922783966,1611.18546043,1611.18552804,15.9807568557,15.9771,0.0095241013822,0.0905,1611.14733775,0.00562778008174,0.0056802,0.00611250304254
714,714,0.00809083110846,-21574.4825941,-20979.1952761,2.39278366,3.04524329222,0.33259,cassan_37_97_1914.det.lc.gz,0.00226797044989,-2.6443626083,0.00613985,-2.21184223879,0.231434583872,4.3208753993,4.3208753993,0.63557174278,0.404906,-0.392645787698,1771.18461444,1771.5006423,5.22813608166,8.82946,0.248980640046,0.6919,1772.85166516,-4.07699075292,2.08246,4.08944081542
715,715,0.126406185326,-20769.9881943,-20521.4119855,11.192645263,0.385866583967,0.210219,cassan_37_9_1907.det.lc.gz,411.754924555,-2.614638802,0.00585266,-2.23264670473,0.00497227265727,201.115278451,201.115278451,2.3034450646,12.2739,1.0889825806,1627.8703777,1616.67225301,0.055487298254,0.928157,1.12593411977,0.071,1616.71137494,0.685218525084,1.7956,201.110306178
716,716,-0.219870883093,-20681.0553073,-20621.3050468,1.0492704,0.0421766346352,0.040749,cassan_38_100_2376.det.lc.gz,0.00202863643745,-2.69279577818,0.000374465,-3.42658876813,0.863265650394,1.15839197302,0.863265650394,-0.0638555394563,0.998393,-0.000698472605592,543.944493829,543.938449323,14.1671042046,14.5732,0.638091852321,0.282,547.990602796,0.0743830031862,0.0719672,0.295126322626
717,717,0.037901763524,-20850.5614944,-20776.1680092,2.07010851,0.428007079344,0.432201,cassan_38_101_2651.det.lc.gz,6.00323835482e-05,-4.22161441291,0.000161257,-3.79248142401,0.952279802696,1.05011152937,1.05011152937,0.0212354267069,1.23134,0.0903779877289,533.891046833,533.891693652,5.09622477924,5.06139,0.0394858388486,0.0643,534.067877039,0.0914717251047,0.092052,0.097831726676
718,718,-0.331098736597,-20902.0991608,-20662.1157086,3.6497461,0.193656737271,0.218469,cassan_38_101_61.det.lc.gz,0.00686955206587,-2.1630715805,0.00718381,-2.14364516257,0.738031736691,1.35495528212,0.738031736691,-0.131924962332,0.838402,-0.0765476943538,1628.42561024,1628.41101944,7.59023525223,7.38815,0.62909965411,0.6262,1630.53715925,0.550639093719,0.608053,0.616923545427
719,719,0.1749146589,-20646.1726938,-20587.5922713,10.9676673,0.808089734287,0.268445,cassan_38_10_1021.det.lc.gz,3149.57768372,-3.49825232461,0.00046892,-3.32890124369,0.00381699528126,261.986176642,261.986176642,2.41827837694,3.21319,0.506936406694,145.40561913,156.372889727,0.0506782315206,5.29839,2.84411801704,0.1147,158.682418371,0.188446665974,2.03411,261.982359647
720,720,0.0596609742217,-36434.2272513,-25912.8266511,3.7636053,0.840212772953,0.658847,cassan_38_10_1716.det.lc.gz,7.12958673053e-07,-6.14693564348,4.36049e-05,-4.36046470515,0.72864422456,1.37241189361,1.37241189361,0.137484473089,1.32414,0.121933905053,1766.0043622,1765.80090344,12.748232805,14.0959,0.0107642100556,0.0931,1769.34034115,0.588183229356,0.502527,0.643767669054
721,721,0.15356960271,-20361.9596875,-20328.1205408,21.2138516,0.15065747374,0.14214,cassan_38_10_2105.det.lc.gz,0.000394617619043,-3.4038235281,4.93954e-05,-4.30631349334,0.834952341858,1.19767314836,1.19767314836,0.0783383128505,1.26284,0.101348329559,1384.8751196,1385.21169841,45.8003004299,46.9333,0.909822269499,0.3299,1400.27459302,0.136070594407,0.132677,0.362720806499
